model,instruction_prompt,text_id,text,Gender,Ethnicity,Age,Education,Sexual Orientation,Is Transgender,Political Affiliation,Is Parent,Technology Impact,Toxicity Problem,Religion Important,Seen Toxicity,Has Been Targeted,annotation
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,Amazing. Let's coordinate the non-Russian propagandists now.,Amazing. Let's coordinate the non-Russian propagandists now.,Female,Black,1) 18 - 24,6) Master's degree,Bisexual,Yes,Other,No,2) Somewhat negative,4) Frequently,2) Not very,False,False,I'm unable
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Nonbinary,Hispanic,Prefer not to say,"3) College, no degree",Heterosexual,No,Other,Prefer not to say,5) Very positive,5) Very Frequently,2) Not very,True,False,3
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Unknown,Unknown,1) 18 - 24,5) Bachelor's degree,Heterosexual,Prefer not to say,Independent,Prefer not to say,5) Very positive,1) Never,4) Very,True,False,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Male,Unknown,2) 25 - 34,4) Associate degree,Other,No,Liberal,No,3) Neutral,2) Rarely,Prefer not to say,True,False,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Unknown,Other,2) 25 - 34,"3) College, no degree",Homosexual,Prefer not to say,Prefer not to say,No,5) Very positive,3) Occasionally,2) Not very,False,True,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Unknown,White,6) 65 or older,5) Bachelor's degree,Prefer not to say,Yes,Conservative,Yes,3) Neutral,3) Occasionally,4) Very,True,True,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,"Why can't art just draw itself, this is bullshit","Why can't art just draw itself, this is bullshit",Nonbinary,White,1) 18 - 24,"3) College, no degree",Heterosexual,Prefer not to say,Other,Yes,5) Very positive,1) Never,2) Not very,True,True,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Female,Multiracial,4) 45 - 54,6) Master's degree,Bisexual,Yes,Prefer not to say,No,4) Somewhat positive,1) Never,Prefer not to say,False,False,I'm sorry
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Nonbinary,Asian,6) 65 or older,6) Master's degree,Other,Yes,Conservative,No,5) Very positive,2) Rarely,3) Somewhat,False,False,1
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Female,Multiracial,4) 45 - 54,Prefer not to say,Bisexual,No,Liberal,Yes,2) Somewhat negative,5) Very Frequently,4) Very,True,False,I'm unable
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Nonbinary,Other,2) 25 - 34,7) Professional degree,Other,Prefer not to say,Conservative,Prefer not to say,4) Somewhat positive,4) Frequently,4) Very,False,True,1
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Female,Multiracial,Under 18,"3) College, no degree",Prefer not to say,No,Other,Prefer not to say,5) Very positive,4) Frequently,3) Somewhat,False,False,3
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,I don’t trust him either? But I can tell you there is much more transparency on economic numbers from the US government than Chinese ....it’s rich you’re a Chinese cuck,Nonbinary,Black,2) 25 - 34,5) Bachelor's degree,Homosexual,Prefer not to say,Liberal,No,2) Somewhat negative,1) Never,1) No,True,True,I'm unable
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Male,Hispanic,6) 65 or older,1) No high school,Prefer not to say,Yes,Independent,Yes,3) Neutral,1) Never,3) Somewhat,True,True,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Nonbinary,Hispanic,Prefer not to say,2) High School graduate,Homosexual,No,Conservative,Prefer not to say,5) Very positive,3) Occasionally,3) Somewhat,True,True,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Unknown,Unknown,1) 18 - 24,8) Doctoral degree,Bisexual,Prefer not to say,Other,Prefer not to say,3) Neutral,3) Occasionally,2) Not very,False,True,3
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Unknown,Hispanic,Prefer not to say,4) Associate degree,Homosexual,Prefer not to say,Independent,Prefer not to say,2) Somewhat negative,3) Occasionally,2) Not very,False,True,1
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Female,Other,Prefer not to say,8) Doctoral degree,Homosexual,Yes,Prefer not to say,No,3) Neutral,3) Occasionally,Prefer not to say,False,False,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,My sons don’t deserve this I can’t go back in time,My sons don’t deserve this I can’t go back in time,Nonbinary,White,6) 65 or older,2) High School graduate,Homosexual,Yes,Liberal,Prefer not to say,1) Very negative,1) Never,2) Not very,False,False,5
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,Every wealthy nation will be nearly devoid of all shitskins in ~100 years afterward.,Every wealthy nation will be nearly devoid of all shitskins in ~100 years afterward.,Male,Black,Prefer not to say,2) High School graduate,Bisexual,Prefer not to say,Liberal,Prefer not to say,2) Somewhat negative,5) Very Frequently,2) Not very,False,False,1
unsloth/Olmo-3-7B-Instruct-unsloth-bnb-4bit,default.txt,Every wealthy nation will be nearly devoid of all shitskins in ~100 years afterward.,Every wealthy nation will be nearly devoid of all shitskins in ~100 years afterward.,Nonbinary,Black,4) 45 - 54,"3) College, no degree",Bisexual,Yes,Conservative,No,5) Very positive,1) Never,1) No,True,False,5
